tweet;clean_tweet;Label
@SamFerkyFers10 @idextratime hebat darimana uruguay brp kali masuk final juara di tahun baru baru ada pildun dulu sekarang ga ada apa apanya,mampus kalah lagian ngapain mentri nya bakal ngibarin bendera lgbt kalo prancis menang;hebat darimana uruguay berapa kali masuk final juara tahun baru baru ada pildun dulu sekarang tidak ada apa apa mampus kalah lagi sedang apa tri nya bakal ngibarin bendera lgbt kalau prancis menang;-1
@Fasa77342812 @rakkaustarina1 @idextratime Lah yg diomongin kan 'sepakbola' not their player, sepakbola jelas lebih maju eropa, negara paling banyak juara pildun aja eropa, peringkat 10 besar aja dominasi eropa, semua pemain berbakat larinya ke eropa  Gimana?;diomongin sepakbola not their player sepakbola jelas lebih maju eropa negara paling banyak juara pildun saja eropa peringkat 10 besar saja dominasi eropa semua main bakat lari eropa bagaimana;-1
messi sengaja menang pildun biar bisa keluar dari paris 🤔;messi sengaja menang pildun biar bisa keluar paris;0
@idextratime Bayangin lah sebelumnya 2014 kalah di final, ya kerasa banget lah euforianya 😭 Yg bikin pildun ini spesial ya karena Messi di final dan ada juara bertahan.;bayangin belum 2014 kalah final rasa banget euforia bikin pildun spesial messi final ada juara tahan;1
@UTDwib @whathevuck @idextratime nah itu, mungkin ngerasa diberi kebebasan sama pihak penyelenggara di sana, akhirnya dia berani aja masuk ke lapangan dan foto2 sama pemain Argentina sambil pegang2 trofi pildun, padahal udah keliatan bahasa tubuh pemain Argen yg gak nyaman gitu, si saltbae ini gak peka sama itu;nah mungkin ngerasa beri bebas sama pihak selenggara sana akhir berani saja masuk lapang foto sama main argentina pegang trofi pildun padahal sudah lihat bahasa tubuh main argentina tidak nyaman gitu si saltbae tidak peka sama;-1
Balik dari pildun gacor, lets see in premier league;balik pildun hebat let see in premier league;1
@Bayy0705 @idextratime Gk sekalian bangunin klo C.Ronaldo dah menang Pildun🤣;tidak sekali bangunin kalau ronaldo deh menang pildun;0
@baber168 @whathevuck @idextratime Lebih tepatnya doi tuh merangkul pemain sepakbola jual makanannya mahal ke pesepakbola. Terus trofi pildun sakral gak semua orang bisa pegang, masalah utamanya itu sih doi asal masuk kek sok kenal gitu megang dan moto trofi;lebih tepat dia rangkul main sepakbola jual makan mahal pesepakbola terus trofi pildun sakral tidak semua orang bisa pegang masalah utama dia asal masuk seperti sok kenal gitu pegang foto trofi;-1
@idextratime Yah itu andil ronaldo, sebelumnya mana ada orang portugal mau main bola, jarang, makannya lolos pildun aja cuma 3 kali, gak pernah dapet gelar apapun di internasional;yah andil ronaldo belum mana ada orang portugal mau main bola jarang makan lolo pildun saja cuma kali tidak pernah dapat gelar apa internasional;-1
@Rizxfa itulah yang dirasakan mbappe pas final pildun😌;rasa mbappe pa final pildun;0
Waktu Argentina Lolos Sampe final WC 2014 rasanya gk keduga karna kualitas pemain argen yg biasa aja. Aku masih inget final saat itu keadaan sahur dan nobar dirumah tetangga. Alhasil messi gagal bawa pulang pildun tahun itu.  https://t.co/swTDC1u6mV;waktu argentina lolo sampai final wc 2014 rasa tidak duga karena kualitas main argentina biasa saja inget final ada sahur nonton bareng rumah tetangga alhasil messi gagal bawa pulang pildun tahun;1
@idextratime Bangdo ga ada niatan ikut pildun U20 ya? Kl juara setidaknya bisa di Banggain sama fansnya😭;ronaldo tidak ada niat ikut pildun u20 kalau juara tidak bisa banggain sama fansnya;-1
@nowplayingbts Aku bakal tau bakal ada cowo taek kayak gini 🤣🤣🤣 aku nonton bila udh lama tapi ya ada temen ku yg baru hype pas pildun. Ya aku kasih liat siapa2 yg ganteng. Trus endingnya kamu tuh lahir di adzani bukan dilempar bola (kalo gak salah soalnya gak begitu jelas ngomongnya);bakal tahu bakal ada cowo tai kayak gin nonton bila sudah lama tapi ada teman ku baru hype pa pildun kasih lihat siapa ganteng lalu endingnya kamu lahir adzani bukan lempar bola kalau tidak salah soal tidak jelas ngomongnya;0
@GOAL_ID Tibang piala aja diributin, piala gak bernyawa, mau dibanting di cium gpp.. asal jgn ngaku2 aja salt Bae udah juara pildun..😂😂😂;tibang piala saja diributin piala tidak nyawa mau banting cium tidak apa asal jangan aku saja salt bae sudah juara pildun;0
@dickykcivv @idextratime Emosi si titit kambing satu ini liat goat anglat tropi pildun, sabar bang wkwk;emosi si titit kambing satu lihat goat angkat tropi pildun sabar bang;-1
@Kirasaaa @SiaranBolaLive nendang lawan, kasih jari tengah (pildun 2018 dia ngasi jari tengah abis Messi cetak gol vs nigeria), belom lagi karirnya abis karena pake doping.;nendang lawan kasih jari tengah pildun 2018 beri jari tengah habis messi cetak gol v nigeria belum karirnya habis pakai doping;-1
@real_damage18 😂😂😂 hilih messi omdo 😂 katanya abis pildun ini mau pensi, eh  masih mau main katanya wkwk. huhuhu😭 dahal klo ada benzema pasti bisa eksekusi penalti🥹;messi ngomong doang kata habis pildun mau pensi eh mau main kata padahal kalau ada benzema bisa eksekusi penalti;-1
@kegblgnunfaedh aguero kyknya bukan squad pildun tp ikutan juara;aguero kayak bukan squad pildun tapi ikut juara;0
Ini pas kemarin nobar pildun hehehehe congrats Argentina! ❤️ #FIFAWorldCup #FIFAWorldCup2022  https://t.co/sP2jCpxMmm;pa kemarin nonton bareng pildun congrats argentina fifaworldcup fifaworldcup2022;1
@fhrizall @rismadwip @SiaranBolaLive menang pildun u20 😜;menang pildun u20;1
@GOAL_ID Final pildun U21 yg dimenangkan 🇦🇷🇦🇷🇦🇷 di Maria gak cetak gol kah??🤔;final pildun u21 menang maria tidak cetak gol;0
tidak berasa sudah menemani neymar main di pildun untuk ketiga kalinya;nggak asa sudah tani neymar main pildun tiga kali;0
@idextratime terima aja udah, wkwk, lagian mereka udah lama banget gak juara pildun;terima saja sudah lagi sudah lama banget tidak juara pildun;0
"smalam mimpi wv update kegiatan jin di wamil. ada yg pas dia lagi nonton pildun bareng anggota wamil, ada yg pas dia pake baju tentara warna item &amp; senjata laras panjang, ada yg pas dia lagi berdiri sikap hormat sambil pegang senjata 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭";malam mimpi wv update giat jin wajib militer ada pa nonton pildun bareng anggota wajib militer ada pa pakai baju tentara warna hitam senjata laras panjang ada pa diri sikap hormat pegang senjata;0
@Qiqicampjamaica @SyabannulK @Messinisti @DwiPrasetyaSan1 @ndakpayurabi @idextratime Yg diomongin bukan liga sih tapi lebih ke negara Amerika Latin kalah saing fg negara eropa di pildun kata mbappe;diomongin bukan liga tapi lebih negara amerika latin kalah saing fg negara eropa pildun kata mbappe;-1
@syqadn @IRahmannuddin_ @idextratime Yaa rame karena org lagi nonton pildun bang;yaa ramai orang nonton pildun bang;1
@The_guardi @dede_harianto @afdhabil @GunnarNjord @indocringe_ Itu kan negara. Indonesia pun mungkin kalo masuk pildun, yang gasuka bola jadi nonton bola karena euforia bola emang sebesar itu. Wajar Bale ngajak warganya nonton, apalagi dia bagian dalam skuad. Tapi dia tetep ga suka bola selain sebagai pekerjaan.;negara indonesia mungkin kalau masuk pildun tidak suka bola jadi nonton bola euforia bola emang besar wajar bale ngajak warga nonton bagi skuad tapi tetap tidak suka bola kerja;1
@aslamnatsir @TumbalProyekk @donipohan7 @idextratime Yg diomongin bukan liga tapi lebih ke negara Amerika latin gak akan mampu bersaing dg benua eropa di pildun;diomongin bukan liga tapi lebih negara amerika latin tidak mampu saing dengan benua eropa pildun;-1
@KMbappe puki ini bru umur 24 tpi dah maen di final pildun, ak 24 msih dudok di smea smbel bakar surya krn mikerin kapan invoice caer kimak kimak;puki baru umur 24 tapi deh main final pildun saya 24 masih dudok smea smbel bakar surya karena mikerin kapan invoice caer kimak kimak;-1
@idextratime kek sama sama merasakan “finaly udah koplit semua ajang yg di menangkan messi” kek gw yg awal ga suka gegara barca dan messi ngalahin MU thn 2009 tapi ga tau kenapa gw berharap dari awal Argentina juara Pildun;seperti sama sama rasa finaly sudah koplit semua ajang menang messi seperti awal tidak suka karena barca messi ngalahin mu tahun 2009 tapi tidak tahu harap awal argentina juara pildun;1
@Qiqicampjamaica @SyabannulK @Messinisti @ndakpayurabi @idextratime Tapi kenyataannya Eropa susah juara kalau maen di Amerika latin.. cuman Jerman 2014 yg juara Pildun pas Amerika latin jadi tuan rumah;tapi nyata eropa susah juara kalau main amerika latin cuman jerman 2014 juara pildun pa amerika latin jadi tuan rumah;-1
@AmLieberal @Unterhose08 @idextratime @Romain_Molina @MadridXtra Pildun rusia jd kambing hitam, salah satunya tacklingny telat, padahal dia lari dr depan, bukannya bek yg disalahin sm media tp dia yg disalahain;pildun rusia jadi kambing hitam salah satu tacklingny lambat padahal lari dari depan bukan bek disalahin sama medium tapi disalahain;-1
perasaan baru pas final pildun maren gw ngomongin mbappe 😭😭😭  https://t.co/4iKQvOZcNv;asa baru pa final pildun maren bicara mbappe;0
Seperti Emi Martinez yg memenangkan 2x adu penalti melawan Belanda dan Perancis di Pildun 2022, Sergio Goycoechea pun melakukannya di Pildun 1990 melawan Yugoslavia dan tuan rumah Italia. Bahkan Sergio Goycoechea mampu juarai 2 copa america dan di tahun 93 menjadi pemain terbaik.;emi martinez menang 2x adu penalti lawan belanda perancis pildun 2022 sergio goycoechea laku pildun 1990 lawan yugoslavia tuan rumah italia bahkan sergio goycoechea mampu juara copa america tahun 93 jadi main baik;1
@Yos79606745 @PorosHalangID @aguerosergiokun sempet kelupaan, martinez quarta knp gak dipanggil ke pildun ya, malah bawa juan foyth hadeh;sempat lupa martinez quarta kenapa tidak panggil pildun bahkan bawa juan foyth hadeh;-1
@idextratime Liat. Bahkan mereka gak peduli kalian siapa. Yg satu olahraga. Yg satu tidur meluk trofi pildun.  Fansya pada ribut 🤣;lihat bahkan tidak peduli kalian siapa satu olahraga satu tidur luk trofi pildun fansya ribut;-1
Hampa gini rasanya gada pildun;hampa gin rasa tidak ada pildun;0
@theabdulhadi Demi messi Fifa sdh resmikan gelar baru.. Fifa sdh hadiahkan pildun spya resmi jdi goat  https://t.co/Kzi2RWMuFe;messi fifa sudah resmi gelar baru fifa sudah hadiah pildun supaya resmi jadi goat;1
@paulodysbala Udah ada rp pildun;sudah ada rp pildun;0
"@moonulybae ""Aku udah seneng bola lama, ya gpp ada yg ngehype gegara pildun. Kukasih tau sekalian pemain cakepnya chelsea, barca, mu. Kamu tu lahir diadzani gak disundul bola."" Intinya itu, dengan selipan jancok jancoknya wkkwkw";sudah neng bola lama tidak apa ada ngehype karena pildun kasih tahu sekali main cakep chelsea barca mu kamu itu lahir diadzani tidak sundul bola inti selip jancok jancoknya;1
@elfarosy99 @KaKa01175473 Mungkin idolanya gagal juara pildun bang. Jd dia ngomong ngawur. Cuma asumsi tanpa bukti. Makanya ga bisa bales.;mungkin idola gagal juara pildun bang jadi bicara bicara sembarang cuma asumsi tanpa bukti makanya tidak bisa balas;-1
